,profile_url,member_since,earnings_pst_yr,earnings_ever,employers,invoices_paid,largest_employ,bio
3,/freelancers/fan-wei-tsui," Aug, 2019"," $36,005 ","$37,630 ",4 ,51 ," $14,375 ","We are a small team of 5 talented Full Stack web developers, ML/NLP/AI providing web development, maintenance services and AI productions. we have worked with a wide range of customers from startups to established businesses.

We provide front-end, back-end, ML, AI development that can can transform our clients requirements into latest technology solution. 

We specialize in Python Development, Php, Flask, Django, React, Node, Vue, E-commerce Solution, WordPress Plugin, Laravel Framework, Matlab, API Development and more"
4,/freelancers/kimberly-verdi," Feb, 2019"," $35,182 ","$45,509 ",1 ,95 ," $45,509 ",NA
5,/freelancers/katherine-kroom," Nov, 2016"," $34,004 ","$231,727 ",39 ,96 ," $132,900 ",NA
6,/freelancers/ken-gold," Oct, 2007"," $33,771 ","$100,636 ",55 ,265 ," $8,925 ","I am a senior software developer, process automation engineer and architect with over 15 years of professional experience. I specialize in front-end as well as back-end web development, server-side real-time software development, security and cryptography and digital marketing. My favorite languages are PHP, C#/.NET (.NET Core, .NET Framework, Mono) and Python.

My skill sets include:
• C#/.NET
• C# language including version 7.0
• Windows service / Linux daemon development
• Experience with .NET Framework 2.0~4.x, .NET Core, Mono
• Unit-testing: xUnit, NUnit, MSTest
• ORM: EntityFramework, EF Core, NHibernate, BLToolkit
• Cross-platform development
• GUI application development based on WinForms or GTK#
• Deep knowledge of networking: TCP/UDP, IOCP, libuv

- PHP
• Deep knowledge of PHP through versions 4.x~7.x
• MVC Frameworks: Symfony 2+, Zend 1/2, Laravel, Yii…
• PSR standards, phpDoc, annotations
• Template engines: Twig, Blade, Smarty
• Composer, PHPUnit, PHPCS
• Doctrine ORM, Propel
• Products: Craft CMS, Magento 1/2, Apigility, Wordpress, Pimcore, and many others…

Web front-end
• HTML5, CSS3, LESS, SCSS
• Javascript
  a) ECMAScript up to ES2018 (ES9), Browser APIs
  b) React/Redux, Backbone/Marionette
  c) Babel, Webpack, Gulp, NPM, Bower
• Cross-browser, adaptive, xml-compatible layout
• Client-server communications: deep knowledge of HTTP protocol; AJAX, WebSockets, WebRTC
• jQuery, UI Frameworks (Bootstrap, Foundation, jQueryUI…)
• Progressive enhancement / Graceful degradation
• Web optimizations, tiling, sprites, compression, minification

Server administration
• Linux system administration (Debian- and RHEL-based)
• LAMP/LEMP

Process Automation Programming:

• Python
• Selenium Framework
• Beautiful Soup
• Visual Basic

Mobile:

• Unity 3D
• SWIFT
• Objective C
• Java
• Cordova
• PhoneGap
• HTML5

P.S. I also enjoy video editing as a hobby."
7,/freelancers/paul-words," Mar, 2012"," $33,557 ","$204,564 ",711 ,"1,286 "," $18,529 ","Whether you want a humorous article, comprehensive eBook or a technical piece, I can come up with the right tone and writing style to produce content that falls in line with your mission statement and overall marketing goals. I do not use fixed formulas, and I am proud to serve clients who value unique web content. My expertise is not limited to one industry; my skills and experience allow me to write for all kinds of industries and audiences. Unique, High-Quality Content for Every Client On-Demand: You can always count on my professional writing skills to serve your unique requirements. I can develop a sales page where visitors will be forced to click “buy now” or even create a blog that improves your brand awareness. All this, and much more, will be provided to you on-demand."
8,/freelancers/alp-bakir," Dec, 2019"," $33,006 ","$33,006 ",1 ,32 ," $33,006 ",NA
9,/freelancers/tahir-choudhry," Dec, 2018"," $28,307 ","$28,307 ",161 ,252 ," $1,500 ","As a Freelance Writer, I feel as if I am equipped with the best knowledge and expertise. A content writer, such as myself, has the qualifications and proficiency to build beneficial relationships with clients alike.

I hold a passion for writing. Hand me a keyboard and watch me come to life! I have been working as a Freelance Copywriter since 2014. 

My motivation is what allowed me to become part of numerous projects, and kick start my writing experience three years ago. This included adopting activities such as writing eBooks (more than 600 eBooks for ‘Kindle Amazon’), white paper, and over 4000 blogs for different clients worldwide. 

I am able to write SEO web pages following the latest techniques. All kind of product descriptions for e- commerce websites and much more."
10,/freelancers/ac-alpha-consulting," Dec, 2004"," $27,253 ","$290,799 ",270 ,"1,077 "," $45,281 ","Alpha Consulting (AC) offers freelance writing and consulting services. I joined Guru in December 2004 - 15 years! It has been a great experience and I have worked with many talented entrepreneurs, small businesses, Fortune 500 and Fortune 100 companies here. 

• 22+ years of professional writing and editing experience. 

150+ 5-star reviews over 14 years:
https://www.guru.com/freelancers/ac----alpha-consulting/reviews

I have worked on a wide range of projects, but my primary interest is to work on government contracts, assist with government contract consulting and to write product descriptions.

I am happy to work with you to achieve your goals. I only bid on select projects where it is a good fit. All content is original, well researched, edited and ready for publishing.
I focus on delivering high quality, engaging content consistently.

It takes time to write well. I am fast, but it is always advisable to plan for enough time and holidays.

Most clients on Guru are in:
-  technology (consumer, enterprise)
-  finance
-  e-commerce
-  real estate
-  architecture
-  education
-  healthcare

Happy to share that 99% of my clients on Guru have come back for a 2nd or 3rd project.

• Financial content has been published in the Wall Street Journal, Yahoo! Finance, the Nasdaq, Morningstar and more financial sites.
• Tech content has appeared on Apple Insider and several tech review sites

Highlights include:
- writing and developing business models, business plans, government proposals and RFPs
- creating extensive product descriptions (health and wellness, tech, apparel & more)
- editing 150+ books
- writing 15 published books (250-300 pages)
- writing 80+ e-books (25-150 pages)
- writing 18 university courses
- translation French to English, English to French

AC focuses on creating excellent quality, building brands of value and empowering clients to move forward in the digital landscape with full confidence. Thank you."
11,/freelancers/ios-app-developer-thomas-woodfin," Mar, 2012"," $26,576 ","$151,834 ",40 ,208 ," $31,730 ","TBL stands for Triple Bottom Line to care for the planet, people and profit."
12,/freelancers/wise-writing-and-editing," Apr, 2016"," $26,069 ","$168,718 ",24 ,"1,425 "," $164,020 ","I hold a degree in professional writing and editing from WVU, but that's not the most important part. The most important part about me is that I'm experienced and dedicated. I have been a freelance editor and content writer for the past five years, and I have a history of happy long-term clients. Whether you need SEO-rich content or a quick edit, I'm here to increase your engagement. Just let me know how I can help!"
13,/freelancers/nicholas-f-couch," Jul, 2015"," $26,000 ","$45,201 ",1 ,102 ," $45,201 ",NA
14,/freelancers/dawn2429," Nov, 2005"," $25,548 ","$282,596 ",160 ,"1,107 "," $61,056 ",I have been endorsed by 13 employers. I have references from employers who I worked for  years not months. You can view them in my profile. I have strong ethical beliefs. I do my very best on each and every project. I enjoy being professional and respectful. If we treat others how we would want to be treated we will be treated fairly. I enjoy new challenges and learn very quickly. I enjoy what I do and it shows in my results. I am looking for long term projects but I am open to short term ones too. My strength is I enjoy working with people. I truly show people I care and it proves to help open my expertise in many ways. I am a great listener. I find a need and fill that need. I take myself out of the picture and focus on the needs of the prospect or the client. I am a result driven professional.
15,/freelancers/piedmont-copy-desk," May, 2003"," $24,996 ","$200,617 ",154 ,475 ," $174,560 ","In the recent past, I've edited a graphic novel, a children's book, a dating guide, a science fiction novel and several finance- and real estate-related works.  I am a ""pure"" copy editor, meaning I don't generally take jobs outside that area of specialization.  I am employed full-time as a CE, and it's the work my brain was designed to do.  With me, you don't get someone who copy edits as a sideline or as part of a gamut of other skills. You get someone who lives, eats and breathes clean copy.

I also provide on-call/daily copy editing for several clients, handling their daily emails, reports and other materials.

My satisfied customers include online universities, real estate agents, marketers, website operators and many others."
16,/freelancers/sherry-writes-for-you," Aug, 2009"," $24,557 ","$104,901 ",109 ,245 ," $8,000 ","In addition to being a Certified Sports Nutritionist, Author, Ghostwriter and Editor, I have a passion for sharing your true-life story through creating and writing your memoir that will inspire and engage your readers.

Also, my background and expertise as a Nutritionist allows me to take complicated topics and convey them to an audience or reader in an easy-to-read format and style.

I have created and written over 150 books including 3 that made Amazon.com's bestseller list. If you are looking for a Writer to create a book, ebook, white paper, articles or editing to be done in a timely manner, look no further. You may view more of my background at www.sgtotalhealth.com and www.sherrywritesforyou.com."
17,/freelancers/visual-content-communications," May, 2007"," $24,337 ","$283,319 ",486 ,"1,614 "," $19,760 ","I'm a 20-year veteran copywriter and editor offering trusted support to clients on an ad hoc, ramp-up, and long-term basis. My services include content development for a range of marketing, business, public relations, and technical applications. As an editor, I offer substantial improvement of creative marketing collateral, grammatical review, corrections to non-native English, and pre-print proofreading.

Clients have included Willamette Dental Group, Howard University, Clemson University, WorldAPP, Dealertrack Technologies, Hussey Seating, Pharmacists Mutual Insurance Co., American Digital Corporation, National Bank of Canada, Acme Smoked Fish, and Hebert Handcrafted Chocolates.

I earned a bachelor's degree in English from California State University, San Bernardino. Supported by a merit-based scholarship in art, I completed extensive undergraduate studies in life drawing and fine arts. Furthering my studies, I earned a 4.0 GPA in graduate business courses in Finance, Total Quality Management, and Public Relations at Saint Michael's College in Vermont.

I've helped hundreds of clients build their brands, sell their products and services, and grow revenue. Let me put that experience to work for you. Contact me to request my full portfolio or a no-obligation quote, today!

G E T _ I N _ T O U C H

visualcontentcommunications.com

S E R V I C E S _ I N C L U D E

Advertising Copy
Article Editing
Article Writing
Articles & News
Blog Writing
Content Editing
Content Writing
Copy Editing
Copywriting
Corporate Blogging
Cover Letter Writing
Creative Writing
Curriculum Vitae (CV) Writing
Descriptive Writing
Developmental Editing
Direct Mail Pieces
Editing & Proofreading
Explainer Video Script Writing
Feature Writing
How To Articles
Job Description Writing
Letter Writing
Marketing Copy
Newsletters
Product Descriptions
Proofreading
Resume Writing
Resumes, Cover Letters, & CVs
Sales Letters
Sales Writing
Scripts
Substantive Editing
Technical Writing
Web Content Writing"
18,/freelancers/empiricaledge," Jul, 2012"," $24,080 ","$126,997 ",8 ,351 ," $57,973 ","With headquarters in Marlton NJ, Empirical Edge, Inc. is the leading & the fastest growing software and information technology  service & solution company. Company was established in the year 2007. Since its establishment company is offering specialized wide range of functional & technology services and solutions to its world-wide clients.

“Our vision is to be the best in class company by forging long-term and ongoing strategic relationship with our clients, partners, vendors, and suppliers. To leverage our envisioning, innovation, transforming, technological acumen and industry expertise to provide quality, cost effective and state of the art services & solutions. We want to attract, engage, develop and retain the best talent from the industry and to create a professional environment in which our employees grow personally and professionally”

“Our mission is to envision ourselves to be pioneers in IT & Software service & solution delivery, while delivering faster, quality, lower cost, state of the art business & technology solution to our clients. We want to rapidly grow our service offerings ranging from envisioning, enterprise solutions, IT & Software development, management and strategy consulting in IT outsourcing and let our clients leverage the finest workforce that we create.”"
19,/freelancers/mariana-franzetti," Apr, 2019"," $22,334 ","$23,618 ",1 ,24 ," $23,618 ","I used to be an Account Manager with a creative mindset. Now I'm a creative who uses all the items in her toolbox. 

Programs: Photoshop, Illustrator, InDesign, Lightroom, Wordpress/Wix"
0,/freelancers/james-mays-1," Jan, 2018"," $21,000 ","$21,000 ",6 ,23 ," $12,200 ","Here at MEDIA PROS PRODUCTIONS, our mission is to give each one of our clients a tangible, high resolution, multi media power force, ready to co-create with their ideas. Our clients know that each idea is clearly thought out. Each high-quality sequence is a meticulously detailed rendering of their personal and/or companies visions.

Media Pros team takes out the corporate marketing agency bureaucracy, and replaces it with one-on-one client services. Many hours are spent understanding the company and persons to whom it involved. This way we can ensure we understand the correct language and approach that our clients want to communicate to their audiences."
1,/freelancers/hunter-foley," Sep, 2019"," $19,470 ","$19,470 ",1 ,8 ," $19,470 ",I'm an individual full-time contractor.
2,/freelancers/jmatt98," Feb, 2020"," $18,655 ","$18,655 ",1 ,19 ," $18,655 ",NA
3,/freelancers/super-writer-guy," Feb, 2008"," $18,454 ","$64,463 ",218 ,581 ," $32,560 ","If Superman had chosen to use his powers to help his alter-ego Clark Kent meet those article deadlines at the Daily Planet, that would have made for a dreadful movie. 

It's quite the moniker I've taken on, and while fighting crime is firmly entrenched on my bucket list, for now espresso, measured servings of Corn Flakes, and spandex, plenty of spandex, keep me pleasantly occupied. A writing superhero at your service."
